name,owner,language,size,updated_on,created_on,scm
wing wag,pilotchic1,,3063,2012-06-24T17:42:41.026733+00:00,2008-08-01T04:41:55.279332+00:00,hg
sympy,certik,,7135317,2012-06-24T17:42:57.940122+00:00,2008-08-01T09:14:08.427533+00:00,hg
tests,certik,,2977,2012-06-24T17:42:59.136795+00:00,2008-08-01T09:30:54.218720+00:00,hg
DVDRegal,jws,,77120,2012-06-24T17:43:00.053748+00:00,2008-08-01T13:10:36.471235+00:00,hg
rebase-soc,astratto,,120864,2013-12-27T07:08:34.614916+00:00,2008-08-01T13:58:23.071280+00:00,hg
Perrfect,Perrfect,,3107,2012-06-24T17:43:11.596966+00:00,2008-08-01T20:04:40.787334+00:00,hg
weblocks-experimental-queue,S11001001,,62467,2012-06-24T17:43:12.358048+00:00,2008-08-01T21:07:42+00:00,hg
mslive,aivo,,59405,2012-06-24T17:43:15.346242+00:00,2008-08-02T16:37:08.322403+00:00,hg
viper's nest,viper227,,3127,2012-06-24T17:43:16.070841+00:00,2008-08-03T19:22:40.743097+00:00,hg
tux3,shapor,,1348663,2011-09-17T03:16:05.491993+00:00,2008-08-03T23:28:27.791092+00:00,hg
kmk,kamikazek,,3096,2012-06-24T17:43:40.827327+00:00,2008-08-04T08:42:24.798294+00:00,hg
hgbook,mirror,,6251439,2011-09-30T00:59:55.836852+00:00,2008-08-04T15:38:05.748767+00:00,hg
weblocks-c6dc18-test-fixes,S11001001,,1502320,2011-09-16T22:51:50.247905+00:00,2008-08-04T21:21:59.314559+00:00,hg
Dictionary,subzero,,3115,2012-06-24T17:43:45.714402+00:00,2008-08-05T11:53:05.812756+00:00,hg
fel,DaveBaum,,88152,2012-06-24T17:43:46.307063+00:00,2008-08-05T13:36:17.983863+00:00,hg
plasma2d,tetaberta,,132922,2012-06-24T17:43:56.734039+00:00,2008-08-05T15:21:19.548042+00:00,hg
jarodsandbox,jarod,,3062,2012-06-24T17:43:57.143973+00:00,2008-08-05T19:43:06.448627+00:00,hg
repoman,repoman,,3098,2012-06-24T17:43:57.558000+00:00,2008-08-05T21:50:57.986620+00:00,hg
tortoisehg,gpoo,,1377700,2012-06-24T17:44:01.240981+00:00,2008-08-06T16:23:34.994416+00:00,hg
soc,gpoo,,65845,2012-06-24T17:44:01.833455+00:00,2008-08-06T16:55:14.656512+00:00,hg
riptools,rcc,,26733,2012-06-24T17:44:04.942954+00:00,2008-08-07T20:22:51.803486+00:00,hg
Timm,Wgaffa,,89534,2012-06-24T17:44:06.329039+00:00,2008-08-08T06:13:50.051244+00:00,hg
avatar,nablis,,3081,2012-06-24T17:44:06.721489+00:00,2008-08-08T06:37:46.159331+00:00,hg
my-test,stigkj,,3088,2012-06-24T17:44:07.096863+00:00,2008-08-08T09:21:26.988070+00:00,hg
yujk,SaabTurbo,,3086,2012-06-24T17:44:08.395226+00:00,2008-08-08T12:10:14.467830+00:00,hg
CL-Sudoku,roerd,,22886,2011-12-15T11:27:18.749300+00:00,2008-08-08T20:51:46.056741+00:00,hg
Growl,boredzo,,120416628,2012-06-24T17:45:44.533115+00:00,2008-08-08T22:42:47.773104+00:00,hg
bhive,weisjohn,,27341,2012-06-24T17:45:50.764496+00:00,2008-08-09T06:38:39.848734+00:00,hg
YDbf,j2a,,117134,2012-06-24T17:45:51.520382+00:00,2008-08-10T03:30:10.325172+00:00,hg
Growl external resources,boredzo,,7362920,2012-06-24T17:45:54.155284+00:00,2008-08-10T07:18:58.623924+00:00,hg
gazpacho-main,aafshar,,789418,2011-09-17T03:30:01.015361+00:00,2008-08-10T13:54:32.500281+00:00,hg
gazpacho-gtkbuilderonly,aafshar,,792034,2011-09-17T03:30:01.038396+00:00,2008-08-10T15:25:22.957902+00:00,hg
pybench-mirror,leosoto,,117573,2011-09-17T08:32:37.250104+00:00,2008-08-11T00:08:42.446881+00:00,hg
jybench,leosoto,,119404,2011-09-17T08:32:37.268678+00:00,2008-08-11T00:12:41.788569+00:00,hg
pytils,j2a,,338775,2011-09-17T03:12:35.598845+00:00,2008-08-11T03:03:36.473694+00:00,hg
diff-colorize,boredzo,,26251,2012-06-24T17:46:02.124591+00:00,2008-08-11T08:03:48.152896+00:00,hg
ProjectEuler,OJ,,64522,2013-05-25T11:51:20.218141+00:00,2008-08-11T09:54:13.224236+00:00,hg
close bit,ibn,,7878,2012-06-24T17:46:04.647224+00:00,2008-08-11T13:55:56.515597+00:00,hg
configure-hgrc,boredzo,,24741,2011-09-16T23:59:08.430317+00:00,2008-08-11T22:30:10.219707+00:00,hg
dotfiles,ches,,18707843,2014-08-30T03:20:42.940028+00:00,2008-08-12T03:27:45.760782+00:00,hg
psb,juricap,,3020,2012-06-24T17:46:15.847381+00:00,2008-08-12T13:50:01.360474+00:00,hg
Emacs,pdixon,,7797395,2012-06-24T17:46:25.551699+00:00,2008-08-13T02:41:46.408270+00:00,hg
Sorting,OJ,,29010,2012-06-24T17:46:27.638394+00:00,2008-08-13T09:31:32.310056+00:00,hg
perl_recdescent_examples,peter_shook,,22743,2012-06-24T17:46:28.252170+00:00,2008-08-13T15:08:00.813787+00:00,hg
python_hub,peter_shook,,5631,2012-06-24T17:46:28.763981+00:00,2008-08-13T15:18:06.945303+00:00,hg
dotfiles,ursm,,2721435,2012-06-24T17:46:32.609594+00:00,2008-08-13T17:25:17.038951+00:00,hg
allknow,sphynx,,42968,2012-06-24T17:46:33.349175+00:00,2008-08-13T20:24:13.972049+00:00,hg
clientmgr,DanC,,16456,2012-06-24T17:46:34.064467+00:00,2008-08-13T20:43:55.039582+00:00,hg
pedropapa9,pedropapa9,,3104,2012-06-24T17:46:41.027327+00:00,2008-08-14T12:58:25.489512+00:00,hg
xpattern,Manfre,,2160855,2011-09-17T03:09:20.592548+00:00,2008-08-15T01:08:54.977357+00:00,hg
icedfs,ohac,,45795,2012-06-24T17:46:42.526475+00:00,2008-08-15T01:41:57.963167+00:00,hg
XMLSocket.NET,shokai,,3042178,2012-06-24T17:46:44.383564+00:00,2008-08-15T04:50:16.623301+00:00,hg
my,MiCHiLU,,1104189,2012-12-26T04:25:21.093326+00:00,2008-08-15T06:35:14.434025+00:00,hg
poker,sphynx,,2906290,2012-06-24T17:46:47.830028+00:00,2008-08-15T08:54:35.418628+00:00,hg
NSCell IB plug-in,boredzo,,12039,2012-06-24T17:46:48.460283+00:00,2008-08-15T09:27:56.579877+00:00,hg
avatar,SAINTZPLAY,,3101,2012-06-24T17:46:48.835527+00:00,2008-08-15T15:31:14.746896+00:00,hg
indian-language-converter,metaperl,,3156,2012-06-24T17:46:49.542318+00:00,2008-08-15T17:50:26.357167+00:00,hg
sanskrit-translit,metaperl,,28266,2012-06-24T17:46:56.406667+00:00,2008-08-16T02:51:20.752495+00:00,hg
